,Country,Sub-national region,latitude,longitude,MPI_Region,PercPoverty,popDensity,precipitation,TimeToCity,Temperature
781,Peru,Lambayeque,-6.7197666,-79.9080757,0.038,9.2,263.9033203125,28.5,13.0,34.0
782,Peru,Lima,-12.0463731,-77.042754,0.004,1.2,14460.1796875,18.0,0.0,35.0
783,Peru,Loreto,-4.2324729,-74.2179326,0.147,32.5,5.0,2292.0,1647.0,26.0
784,Peru,Madre de Dios,-11.7668705,-70.8119953,0.024,6.0,2.16666674613953,2059.5,3156.0,24.0
785,Peru,Moquegua,-17.1927361,-70.9328138,0.014,3.4,22.6299991607666,37.5,85.0,36.0
786,Peru,Pasco,-10.4475753,-75.1545381,0.064,15.3,1.83333337306976,2622.0,1995.0,22.0
787,Peru,Piura,-5.1782884,-80.6548882,0.05,12.0,634.184997558594,52.0,3.0,35.0
788,Peru,Puno,-15.8402218,-70.0218805,0.069,17.0,252.240005493164,453.0,3.0,25.0
789,Peru,San Martín,-7.2444881,-76.8259652,0.061,15.2,98.0433349609375,1347.5,624.0,26.0
790,Peru,Tacna,-18.0065679,-70.2462741,0.008,2.2,152.851669311523,20.5,0.0,35.0
791,Peru,Tumbes,-3.5564921,-80.4270885,0.014,3.7,583.628356933594,137.5,23.0,30.0
792,Peru,Ucayali,-9.8251183,-73.087749,0.046,11.0,0.0,1704.0,3747.0,25.0
793,Peru,Áncash,-9.3250497,-77.5619419,0.044,11.3,85.0983352661133,802.5,70.0,26.0
794,Philippines,Armm,6.9568313,124.2421597,0.14,24.9,75.0,2042.5,309.0,25.0
795,Philippines,Bicol Region,13.4209885,123.4136736,0.068,14.6,668.211669921875,2077.5,2.0,28.0
796,Philippines,CARAGA,8.8014562,125.7406882,0.069,15.0,153.498336791992,2811.5,170.0,24.0
797,Philippines,Cagayan Valley,16.9753758,121.8107079,0.039,8.4,484.919982910156,1887.5,44.0,30.0
798,Philippines,Calabarzon,14.1007803,121.0793705,0.029,7.1,1175.91662597656,1645.0,41.0,27.0
799,Philippines,Central Luzon,15.4827722,120.7120023,0.035,7.9,369.510009765625,1874.0,19.0,30.0
800,Philippines,Central Visayas,10.2968562,123.8886774,0.055,11.2,1954.59167480469,1295.5,6.0,28.0
801,Philippines,Cordillera Admin Region,17.3512542,121.1718851,0.039,8.5,42.7249984741211,2417.5,69.0,24.0
802,Philippines,Davao Peninsula,6.9581401,126.2176555,0.066,13.4,107.5,1620.5,318.0,27.0
803,Philippines,Eastern Visayas,12.2445533,125.0388164,0.054,11.6,117.178329467773,2617.0,739.0,24.0
804,Philippines,Ilocos Region,16.0832144,120.6199895,0.027,6.0,797.933349609375,1769.0,65.0,35.0
805,Philippines,Mimaropa,9.8432065,118.7364783,0.091,17.1,104.333335876465,1574.0,13.0,25.0
806,Philippines,National Capital Region,14.6090537,121.0222565,0.026,6.9,12205.2998046875,1806.0,3.0,36.0
807,Philippines,Northern Mindanao,8.0201635,124.6856509,0.093,18.0,64.5,2501.0,131.0,23.0
808,Philippines,Soccsksargen,6.2706918,124.6856509,0.09,17.0,210.533325195313,1684.0,107.0,25.0
809,Philippines,Western Visayas,11.0049836,122.5372741,0.055,11.4,195.565002441406,1774.5,289.0,26.0
810,Philippines,Zamboanga Peninsula,8.154077,123.258793,0.075,15.6,170.33332824707,2324.0,252.0,26.0
811,Rwanda,East,-1.9174872,30.4357631,0.292,59.6,407.220001220703,701.5,49.0,26.0
812,Rwanda,Kigali City,-1.9705786,30.1044288,0.118,26.3,744.099975585938,718.5,9.0,31.0
813,Rwanda,North,-1.656166,29.8815203,0.243,51.9,501.350006103516,866.5,45.0,23.0
814,Rwanda,South,-1.940278,29.873888,0.295,59.9,514.683349609375,821.0,273.0,25.0
815,Rwanda,West,-2.0785049,29.3288299,0.266,56.0,461.214996337891,895.0,86.0,23.0
816,Sao Tome and Principe,Região Autonoma de Principe,1.6139012,7.4057024,0.092,22.3,61.0,1807.0,433.0,23.0
817,Sao Tome and Principe,Região Centro Este,,,0.059,14.3,,,,
818,Sao Tome and Principe,Região Norte Oeste,-12.9086972,-38.4434722,0.132,29.7,3544.83325195313,1036.0,4.0,29.0
819,Sao Tome and Principe,Região Sul Este,,,0.117,28.2,,,,
820,Senegal,Center,14.72001,-17.465533,0.408,72.3,10685.908203125,431.0,4.0,31.0
821,Senegal,North,14.497401,-14.452362,0.363,63.6,14.3333330154419,671.5,239.0,38.0
822,Senegal,Ouest,14.497401,-14.452362,0.132,29.6,14.3333330154419,671.5,239.0,38.0
823,Senegal,South,14.497401,-14.452362,0.409,70.7,14.3333330154419,671.5,239.0,38.0
824,Sierra Leone,Bo,7.9551791,-11.7409946,0.449,80.1,469.630004882813,2323.5,4.0,30.0
825,Sierra Leone,Bombali,9.2475837,-12.1632718,0.423,78.7,46.7766647338867,2415.0,213.0,27.0
826,Sierra Leone,Bonthe,7.5257028,-12.5039922,0.478,85.8,26.3333339691162,2924.0,360.0,26.0
827,Sierra Leone,Kailahun,14.497401,-14.452362,0.537,89.1,14.3333330154419,671.5,239.0,38.0
828,Sierra Leone,Kambia,9.1261664,-12.9176518,0.58,94.3,151.016662597656,2679.0,173.0,27.0
829,Sierra Leone,Kenema,7.8632147,-11.1957172,0.477,84.5,339.516662597656,2343.0,3.0,28.0
830,Sierra Leone,Koinadugu,9.5308619,-11.5248055,0.601,93.9,80.4449996948242,2016.5,208.0,25.0
831,Sierra Leone,Kono,8.7663285,-10.8903099,0.511,88.5,195.441665649414,2296.5,65.0,26.0
832,Sierra Leone,Moyamba,8.1620514,-12.4351923,0.569,94.6,44.0,2378.0,134.0,27.0
833,Sierra Leone,Port Loko,8.7686886,-12.7853522,0.522,89.9,84.0,2498.5,121.0,28.0
834,Sierra Leone,Pujehun,7.3723295,-11.6157773,0.537,91.5,53.0833320617676,2689.0,171.0,25.0
835,Sierra Leone,Tonkolili,8.7389416,-11.7979613,0.541,88.9,42.5,2598.5,233.0,25.0
836,Sierra Leone,Western Rural,7.3723295,-11.6157773,0.319,67.7,53.0833320617676,2689.0,171.0,25.0
837,Sierra Leone,Western Urban,8.4545561,-13.2432632,0.191,41.5,1497.63000488281,2882.0,8.0,29.0
838,South Sudan,Central Equatoria,4.6144063,31.2626366,0.391,75.6,6.16666650772095,1156.0,266.0,32.0
839,South Sudan,Eastern Equatoria,5.0692995,33.438353,0.561,92.5,5.83333349227905,715.0,550.0,38.0
840,South Sudan,Jonglei and Unity,,,0.628,97.5,,,,
841,South Sudan,Lakes,8.6452399,25.2837585,0.605,96.9,0.5,1308.5,819.0,32.0
